ARCHETYPE_AERIE_DEFENDER	Difensore del Nido
INSCENE_WILDWOODFORESTPARTI_TEXT_4D434B	"Grazie, eroe. Credevo fossimo spacciati..."
INSCENE_WILDWOODFORESTPARTI_TEXT_7682E0	La lastra reca un testo in elfico antico. Non riesci a leggerlo.
INSCENE_WILDWOODFORESTPARTVA_TEXT_12980A	Accidenti... Ho rischiato di morire, vero? Sembra che la corruzione si stia diffondendo... Beh, grazie dell'aiuto! Tieni, prendi questo piccolo segno della mia gratitudine.
INSCENE_WILDWOODFORESTPARTVB_NOTIF_7682E0	Hai appreso informazioni sulle Rovine del Lamento Perduto
INSCENE_WILDWOODFORESTPARTVB_TEXT_075015	Grazie dell'aiuto. Se non fossimo tornati vivi al campo, Corin ci avrebbe tagliato la testa.
INSCENE_WILDWOODFORESTPARTVB_TEXT_518E88	La gente del posto parla del Re della Foresta, un cervo maestoso che si mostra di rado ma è ben noto nei racconti locali. Non è chiaro se sia legato all'insolita rilevanza delle immagini di cervi in queste rovine, ma è difficile ignorare il nesso.
INSCENE_WILDWOODFORESTPARTVB_TEXT_518F90	Il cervo gigante potrebbe essere il rappresentante terreno di Ceres, anziché la divinità stessa. Un sovrano della foresta, non il suo creatore. In tal caso, la creatura descritta dalla gente del posto è il simbolo vivente di un'autorità superiore.
INSCENE_WILDWOODFORESTPARTVB_TEXT_51900C	C'è un'incongruenza. Se Ceres occupava il posto più alto nelle loro credenze, sembra improbabile che un simile essere vagasse nella foresta in forma fisica. Una figura di tale levatura agirebbe più probabilmente tramite intermediari.
INSCENE_WILDWOODFORESTPARTVB_TEXT_74DB10	Grazie dell'aiuto. Se non fossimo tornati vivi al campo, Corin ci avrebbe tagliato la testa.
INSCENE_WILDWOODFORESTPARTVB_TEXT_7682E0	Davanti a te si estendono antiche rovine elfiche.
INTERACT_EARLWOODFARMLAN_ITEM_04F067	Salve, avventuriero! Al momento le nostre pattuglie si limitano a questo perimetro. Però, ora che ci penso, ho visto un plotone dirigersi verso i meleti…
INTERACT_EARLWOODFARMLAN_ITEM_0CA410	Un'insegna delle guardie è impigliata nel sottobosco: qualcuno di loro deve essere passato di qui. Strano, non è una via che le guardie usano di solito.
INTERACT_EARLWOODFARMLAN_ITEM_111B2D	"Grande avventuriero, ti prego! Aiutami a trovare il giocattolo di mia figlia. Abbiamo così poco..."
INTERACT_EARLWOODFARMLAN_ITEM_23A17C	Amore… dove sei? Perché il letto dei bambini è vuoto? Perché… perché la casa è vuota?
INTERACT_EARLWOODFARMLAN_ITEM_25BDF7	"Eh? Cosa... li hai fatti fuori? Beh, avevo la situazione sotto controllo, ma grazie dell'aiuto. Prendi qualche mela dal raccolto e prosegui per la tua strada."
INTERACT_EARLWOODFARMLAN_ITEM_2D5DA0	Il corpo di un altro avventuriero, stavolta un arciere. Ucciso da poco da mani non umane. Le frecce sparse a terra raccontano una battaglia recente, ma non c'è traccia del suo arco o della faretra.
INTERACT_EARLWOODFARMLAN_ITEM_305412	Qualcuno è inciampato qui e ha perso alcune frecce; sulle punte si riconosce il marchio di Manga.
INTERACT_EARLWOODFARMLAN_ITEM_324439	Hai segnato il recinto con un cartello che indica il percorso
INTERACT_EARLWOODFARMLAN_ITEM_32CC54	La pecora corre verso casa.
INTERACT_EARLWOODFARMLAN_ITEM_32CC6D	La pecora corre verso casa.
INTERACT_EARLWOODFARMLAN_ITEM_32CC71	La pecora corre verso casa.
INTERACT_EARLWOODFARMLAN_ITEM_362ECB	Ti prego… non farci del male. Non abbiamo nulla. Ti prego… lasciaci andare
INTERACT_EARLWOODFARMLAN_ITEM_3D1FFB	Lo stendardo protettivo di Tamsin è indebolito; la sua runa si affievolisce, come privata della magia
INTERACT_EARLWOODFARMLAN_ITEM_407A19	"Tu... l'hai trovato davvero! Grazie infinite. Che Ceres ti benedica!"
INTERACT_EARLWOODFARMLAN_ITEM_42AA3F	Frughi tra i rottami e trovi un palo da recinto!
INTERACT_EARLWOODFARMLAN_ITEM_47124F	Hai installato un campanello segnalatore sul palo della luce
INTERACT_EARLWOODFARMLAN_ITEM_472433	Nessuna traccia dell'esploratore qui, solo un Varco e un alto punto d'osservazione che domina le terre coltivate.
INTERACT_EARLWOODFARMLAN_ITEM_54C7F7	Sul terreno si distinguono impronte di schinieri; la profondità rivela che chi le ha lasciate portava un carico pesante. Conducono verso nordest.
INTERACT_EARLWOODFARMLAN_ITEM_5535CE	"Uff... Grazie dell'aiuto, amico! Ci siamo fermati a mangiare un boccone tornando dal Campo di Corin. Prendi qualche mela. Te la sei più che meritata, eheh."
INTERACT_EARLWOODFARMLAN_ITEM_5AF4E1	Mamma… Papà… Dove siete? Vi prego… Ho paura. Non so dove sono… Mamma… Papà… Vi prego, non lasciatemi sola…
INTERACT_EARLWOODFARMLAN_ITEM_5BE064	Hai installato un campanello segnalatore sul palo della luce
INTERACT_EARLWOODFARMLAN_ITEM_607C44	Hai segnato il recinto con un cartello che indica il percorso
INTERACT_EARLWOODFARMLAN_ITEM_61197B	Hai segnato il recinto con un cartello che indica il percorso
INTERACT_EARLWOODFARMLAN_ITEM_617FE9	Frughi tra i rottami e trovi un palo da recinto!
INTERACT_EARLWOODFARMLAN_ITEM_617FE9_2	Nessuna traccia dell'esploratore. Solo campi divorati dalla fame dei goblin.
INTERACT_EARLWOODFARMLAN_ITEM_617FE9_3	L'esploratore non si trova da nessuna parte. Restano solo case sventrate, spogliate di tutto.
INTERACT_EARLWOODFARMLAN_ITEM_6678F7	Appunto n. 2 - Dato che sono qui, ho avuto tempo di osservarli. I goblin sono stranamente crudeli con tutto ciò che li circonda. Non attaccano solo persone o animali. Non lasciano in pace nemmeno i fiori.
INTERACT_EARLWOODFARMLAN_ITEM_667994	Appunto n. 1 - Ho iniziato la ricerca nelle terre coltivate. I goblin sono comuni in tutta Mirkea, ma qui mi aspettavo solo tracce sparse. Mi sbagliavo. Uno di loro, immobile in un cespuglio, me l'ha dimostrato.
INTERACT_EARLWOODFARMLAN_ITEM_667A9C	Appunto n. 3 - I goblin si attaccano di rado senza motivo. Sembrano evitare gli scontri se non costretti, forse per prudenza più che per empatia. Dovrò osservarli ancora prima di trarre conclusioni.
INTERACT_EARLWOODFARMLAN_ITEM_696216	Il corpo di un avventuriero giace freddo. Il suo equipaggiamento è stato preso e pesanti impronte di schinieri conducono a nordest.
INTERACT_EARLWOODFARMLAN_ITEM_70AE7A	Hai installato un campanello segnalatore sul palo della luce
INTERACT_EARLWOODFARMLAN_ITEM_70FB39	Hai segnato il recinto con un cartello che indica il percorso
INTERACT_EARLWOODFARMLAN_ITEM_75E790	Hai installato un campanello segnalatore sul palo della luce
INTERACT_EARLWOODFARMLAN_ITEM_7682E0	Un volume consunto poggia sul bordo di un letto in rovina. Sulla copertina è impresso: SCRIPTURA PRINCIPIORUM
INTERACT_EARLWOODFARMLAN_ITEM_7682E0_2	File di piante insolite, dall'aspetto esotico, si estendono nel campo.
INTERACT_EARLWOODFARMLAN_ITEM_7682E0_77AFCA	I resti di quella che un tempo era una grande casa...
INTERACT_EARLWOODFARMLAN_ITEM_7682E0_NOTIF	Hai appreso informazioni sui Principi Primi
INTERACT_EARLWOODFARMLAN_ITEM_7682E0_NOTIF_2	Hai appreso informazioni sulla Pianta di Worp
INTERACT_EARLWOODFARMLAN_ITEM_7682E0_NOTIF_77AFCA	Hai appreso informazioni sul Mulino di Haylor.
INTERACT_EARLWOODVILLAGE_ITEM_0A1DFC	Ah! Buon pomeriggio... no, volevo dire buongiorno! Cosa? Sciacalli? Scusa, devo essermi appisolato durante il turno…
INTERACT_EARLWOODVILLAGE_ITEM_0D1745	Le consegni l'ultimo biglietto dell'uomo. Gli dà una rapida occhiata, poi si volta in silenzio, stringendo il neonato mentre iniziano a scorrerle le lacrime.
INTERACT_EARLWOODVILLAGE_ITEM_1468D8	Salve, cittadino. Le informazioni sui movimenti in questo punto non sono pubbliche. Ma, tra noi, avventuriero, sei l'unica persona passata di qui da parecchio tempo.
INTERACT_EARLWOODVILLAGE_ITEM_148852	La zona è affollata di profughi.
INTERACT_EARLWOODVILLAGE_ITEM_148852_NOTIF	Hai appreso informazioni sui profughi.
INTERACT_EARLWOODVILLAGE_ITEM_165FF3	"Circola, forestiero. Non passa nessuno."
INTERACT_EARLWOODVILLAGE_ITEM_165FF3_NOTIF	Hai appreso informazioni sulle guardie.
INTERACT_EARLWOODVILLAGE_ITEM_18BB4A	"Un uomo che prendeva le provviste? Scusa, non stavamo facendo caso a ciò che ci circondava..."
INTERACT_EARLWOODVILLAGE_ITEM_18BC53	"Cosa? Qualcuno ha preso le provviste donate? Ecco perché scarseggiano le medicine."
INTERACT_EARLWOODVILLAGE_ITEM_18BCEF	"Le donazioni di Tamsin? Ora non conta, non vedi che sto salvando queste meravigliose creature?! ... Non dirlo a nessuno, ma i lombrichi discendono direttamente dagli dei!"
INTERACT_EARLWOODVILLAGE_ITEM_18BCEF_NOTIF	Hai scoperto un indizio su dove si trova il rivenditore
INTERACT_EARLWOODVILLAGE_ITEM_351122	Cosa? Una coperta come la mia? C'è un tipo strano... vicino al mulino a vento distrutto, credo...
INTERACT_EARLWOODVILLAGE_ITEM_351122_NOTIF	Hai scoperto un indizio su dove si trova il rivenditore
INTERACT_EARLWOODVILLAGE_ITEM_35118D	"Le donazioni di Tamsin? Sì, le ha prese un uomo strano... Ha persino cercato di vendermi dolci per i bambini! Vergognoso! Ha detto che mi avrebbe aspettato al meleto se avessi cambiato idea."
INTERACT_EARLWOODVILLAGE_ITEM_35118D_NOTIF	Hai scoperto un indizio su dove si trova il rivenditore
INTERACT_EARLWOODVILLAGE_ITEM_35122A	"Uff, sì, lo conosco quel 'venditore'. Quel farabutto mi ha chiesto 10 monete d'oro per una benda! E voleva pure farmi andare fino alla fattoria a prenderla, ci credi?"
INTERACT_EARLWOODVILLAGE_ITEM_35122A_NOTIF	Hai scoperto un indizio su dove si trova il rivenditore
INTERACT_EARLWOODVILLAGE_ITEM_3EC2A4	Mmh, sì… ora che lo dici, ricevo molte segnalazioni di gruppi di guardie in luoghi insoliti.
INTERACT_EARLWOODVILLAGE_ITEM_52AA66	Non resta molto cibo per i profughi
INTERACT_EARLWOODVILLAGE_ITEM_58D127	Davanti a te sorgono un riparo e una fucina rudimentali, assemblati con pezzi spaiati
INTERACT_EARLWOODVILLAGE_ITEM_58D127_NOTIF	Hai appreso informazioni sulla Fucina di Manga.
INTERACT_EARLWOODVILLAGE_ITEM_7682E0	Il muro è un rozzo insieme di tronchi. Uno freme di vita, sottili germogli verdi si insinuano tra le fessure.
INTERACT_EARLWOODVILLAGE_ITEM_7682E0_NOTIF	Hai appreso informazioni sulle Mura di Earlwood
INTERACT_GUILDHALL_ITEM_148852	Si preparano in fretta le provviste per gli avventurieri
INTERACT_GUILDHALL_ITEM_165FF3	Armi depositate e pronte all'uso.
INTERACT_GUILDHALL_ITEM_52AA66_335338_16	"La foresta sembra quella dell'ultima Crisi dei Goblin. Ceres ci aiuti, speriamo di non arrivare a tanto."<x1/><x2/>"Tu c'eri? Io non ero nemmeno nato. Ho solo sentito le storie."
INTERACT_GUILDHALL_ITEM_58D127	I libri sparsi suggeriscono una partenza improvvisa, o semplice incuria.
INTERACT_GUILDHALL_ITEM_7682E0	Un libro aperto sulla storia di Aldoria, con i margini pieni degli accurati appunti di Tamsin.
INTERACT_GUILDHALL_ITEM_7682E0_NOTIF	Hai appreso informazioni su Aldoria.
INTERACT_GUILDHALL_ITEM_7D92AD	"Le terre selvagge stanno cambiando. Sempre meno cacciatori tornano vivi."
INTERACT_THEGOBLINCAVES_ITEM_065FA9	Si è aperto un passaggio nelle vicinanze.
INTERACT_THEGOBLINCAVES_ITEM_071408	Si è aperto un passaggio nelle vicinanze.
INTERACT_THEGOBLINCAVES_ITEM_0D3AC9	Si è aperto un passaggio nelle vicinanze.
INTERACT_THEGOBLINCAVES_ITEM_155398	Si è aperto un passaggio nelle vicinanze.
INTERACT_THEGOBLINCAVES_ITEM_2E4FBE	Si è aperto un passaggio nelle vicinanze.
INTERACT_THEGOBLINCAVES_ITEM_2E91CE	Si è aperto un passaggio nelle vicinanze.
INTERACT_THEGOBLINCAVES_ITEM_37A4BE	La via è bloccata. Trova un modo per aprirla.
INTERACT_THEGOBLINCAVES_ITEM_403B0C	Si è aperto un passaggio nelle vicinanze.
INTERACT_THEGOBLINCAVES_ITEM_4DE89F	La via è bloccata. Trova un modo per aprirla.
INTERACT_THEGOBLINCAVES_ITEM_66DF65	Si è aperto un passaggio nelle vicinanze.
INTERACT_THEGOBLINCAVES_ITEM_6871C9	La via è bloccata. Trova un modo per aprirla.
INTERACT_THEGOBLINCAVES_ITEM_730FED	Si è aperto un passaggio nelle vicinanze.
INTERACT_THELOSTCAVERNS_ITEM_078937_322582_16	A terra giace un diario. Su una pagina si legge:<x1/>"Abbiamo attivato il Varco. In qualche modo ha funzionato. Nessuno ci riusciva dai tempi degli Antichi! La spedizione aveva ragione. Questo posto è straordinario."
INTERACT_THELOSTCAVERNS_ITEM_146576_655AEB_16	Su una pagina di diario si legge:<x1/>"I giacimenti di cristalli di mana sono incredibili. Se troviamo una via d'uscita, potremo avviare l'estrazione. Il potenziale è enorme."
INTERACT_THELOSTCAVERNS_ITEM_30CE34	Davanti a te incombe una statua colossale: la figura è sconosciuta, il suo scopo perduto nel tempo
INTERACT_WILDWOODFORESTP_1_00CFD6_3618ED_16	Nord: Dimraeth<x1/>Est: Pozza del Ricordo<x2/>Sud: Villaggio di Earlwood
INTERACT_WILDWOODFORESTP_1_1484B3_7CD369_16	Un biglietto insanguinato è stretto nelle mani del morto. Vi si legge:<x1/>"Un lupo mi ha morso mentre cercavo cibo. Al villaggio non ne è rimasto. Perdo molto sangue, non riesco a camminare. Non mi resta molto tempo. Chiunque trovi questo… ti prego, porta il secondo biglietto a mia moglie, al Villaggio di Earlwood. È il mio ultimo addio."
INTERACT_WILDWOODFORESTP_1_354807	Un albero contorto che assorbe la magia circostante, lasciando l'aria fredda e inerte.
INTERACT_WILDWOODFORESTP_1_354807_NOTIF	Hai appreso informazioni sull'Albero Corrotto.
INTERACT_WILDWOODFORESTP_1_467398	"Attento, è una trappola!"
INTERACT_WILDWOODFORESTP_1_610F77	"Grazie! Sei arrivato appena in tempo."
INTERACT_WILDWOODFORESTP_1_610F77_2	"Ehi, tu! Aiutami, ti prego!"
INTERACT_WILDWOODFORESTP_1_6A8AC6	"Grazie, credevo fossimo spacciati. Ci stavano solo usando come esca."
INTERACT_WILDWOODFORESTP_HINT_1_BB18A7	Sei passato dal ponte? Allora è finalmente riparato. Segui la strada principale. Il nostro campo è nel cuore della foresta. Corin vorrà saperlo.
INTERACT_WILDWOODFORESTP_HINT_1_FOLLOW_U_3F4BC4	Il campo è lungo la strada principale, nel cuore della foresta. Di' a Corin che il ponte è riparato.
INTERACT_WILDWOODFORESTP_HINT_2_63392A	Uff… fa' attenzione. Ci sono lupi lungo tutto il sentiero principale per il campo.
INTERACT_WILDWOODFORESTP_HINT_2_FOLLOW_U_A56EE6	Lupi sul sentiero principale. Tieni gli occhi aperti.
INTERACT_WILDWOODFORESTP_HINT_3_432DC3	Un nuovo arrivato? Abbassa la voce. Il campo è poco più avanti.
INTERACT_WILDWOODFORESTP_HINT_3_FOLLOW_U_3C4E28	Il campo è poco più avanti. Fa' piano.
INTERACT_WILDWOODFORESTP_ITEM_00A788	Cosa mi sta succedendo...? Cos'è... tutto questo... odio?
INTERACT_WILDWOODFORESTP_ITEM_0165D2	Sono le prime rovine che ho avuto occasione di esaminare. A prima vista, sono solo i resti di un antico insediamento: pietre erose disposte da mani ormai dimenticate. Un'osservazione superficiale, tuttavia, raramente regge a un esame attento.
INTERACT_WILDWOODFORESTP_ITEM_031A60	Devono essere gli attrezzi di Befr.
INTERACT_WILDWOODFORESTP_ITEM_0406C6	Tracce lievi suggeriscono che i goblin siano arrivati da nord.
INTERACT_WILDWOODFORESTP_ITEM_052DA9	Appunto n. 6 - Pur mostrando scarso acume in battaglia e agendo quasi solo d'istinto, restano creature opportuniste e imprevedibili. I movimenti di un bambino con un coltello sono ben poco prevedibili.
INTERACT_WILDWOODFORESTP_ITEM_052EB1	Appunto n. 4 - Oggi mi sono spinto più a fondo nella foresta. Probabilmente più del dovuto. Qui è pericoloso. Una cosa però è evidente: i goblin viaggiano quasi sempre in gruppo. Non so ancora perché. Pensavo tenessero ai propri simili, ma ho visto troppe 'morti accidentali' per crederlo ancora.
INTERACT_WILDWOODFORESTP_ITEM_052F2D	Appunto n. 5 - Ritiro la mia precedente valutazione sulla pericolosità dei goblin. Da soli non costituiscono una minaccia significativa. Tuttavia, non vanno mai sottovalutati, soprattutto in gruppo.
INTERACT_WILDWOODFORESTP_ITEM_075015	Grazie dell'aiuto. Se non fossimo tornati vivi al campo, Corin ci avrebbe tagliato la testa.
INTERACT_WILDWOODFORESTP_ITEM_0B3571	C'è un altro dettaglio da non ignorare. Queste rovine contengono infrastrutture sostenute dalla magia: depositi nascosti, meccanismi ancora funzionanti dopo secoli e altre costruzioni che vanno oltre la semplice maestria artigiana. Una società capace di integrare tanto bene la magia nell'architettura avrebbe avuto ben pochi motivi per attribuire tanta importanza simbolica a un comune animale dei boschi
INTERACT_WILDWOODFORESTP_ITEM_0C5912	Ripercorri il sentiero e segni sulla mappa una via per il covo attraverso la cascata
INTERACT_WILDWOODFORESTP_ITEM_106071	Casa... dov'è casa nostra?
INTERACT_WILDWOODFORESTP_ITEM_12980A	Accidenti... Ho rischiato di morire, vero? Sembra che la corruzione si stia diffondendo... Beh, grazie dell'aiuto! Tieni, prendi questo piccolo segno della mia gratitudine.
INTERACT_WILDWOODFORESTP_ITEM_136842	Se il principio vale anche qui, queste rovine conservano le tracce di un'ideologia collettiva. Che sia religiosa, filosofica, politica o puramente culturale resta incerto. Qualunque sia la sua natura, quasi certamente un sistema di credenze è racchiuso in queste pietre.
INTERACT_WILDWOODFORESTP_ITEM_14D31B	Accidenti! C'è mancato poco. Grazie, amico!
INTERACT_WILDWOODFORESTP_ITEM_165689	“Uff… Grazie, amico! Presto! Il Cuore corrotto è proprio sopra di noi! Svelto! Distruggilo!”
INTERACT_WILDWOODFORESTP_ITEM_191F9F	Uff… grazie… Uff, credevo di essere spacciato…
INTERACT_WILDWOODFORESTP_ITEM_1C1E21	Sei venuto a prenderci… Ancora non ci credo. Torneremo al campo. Corin deve sapere cos'è successo qui. Grazie… davvero
INTERACT_WILDWOODFORESTP_ITEM_26776E	Sei passato dal ponte? Allora è finalmente riparato. Segui la strada principale, il nostro campo è nel cuore della foresta. Corin vorrà saperlo.
INTERACT_WILDWOODFORESTP_ITEM_284E12	Mentre viene tesa, la corda scricchiola abbastanza forte da attirare numerosi occhi malevoli in agguato nelle ombre della foresta.
INTERACT_WILDWOODFORESTP_ITEM_2D9B01	Cosa mi sta succedendo...? Cos'è... tutto questo... odio?
INTERACT_WILDWOODFORESTP_ITEM_2EB60D	Guardi sotto la corteccia... nessuna poesia elfica.
INTERACT_WILDWOODFORESTP_ITEM_2FAFF6	Uff... C'è mancato poco! Grazie dell'aiuto. Tieni, prendi questo. L'ho trovato tra le rovine.
INTERACT_WILDWOODFORESTP_ITEM_3375EA	Lo stendardo protettivo di Tamsin è indebolito; la sua runa si affievolisce, come privata della magia
INTERACT_WILDWOODFORESTP_ITEM_349D72	Radici corrotte si sono fuse in un muro vivente, sbarrando il sentiero. Senti una presenza vicina che le tiene unite.
INTERACT_WILDWOODFORESTP_ITEM_3B94D2	La foresta si agita in risposta alle tue azioni.
INTERACT_WILDWOODFORESTP_ITEM_3D1FFB	Lo stendardo protettivo di Tamsin è indebolito; la sua runa si affievolisce, come privata della magia
INTERACT_WILDWOODFORESTP_ITEM_3D1FFB_5800A5	Lo stendardo protettivo di Tamsin è indebolito; la sua runa si affievolisce, come privata della magia
INTERACT_WILDWOODFORESTP_ITEM_3EFA81	Appunto n. 8 - No. Decisamente no. I goblin non possono avere alcuna organizzazione tattica. Sono troppo primitivi. Ecco. Troppo primitivi per formare una vera comunità. Probabilmente seguono solo una semplice gerarchia. Forse nella zona è comparso un Re Goblin.
INTERACT_WILDWOODFORESTP_ITEM_3EFC25	Appunto n. 9 - Dev'essere così. Deve esserci un Re Goblin. Uno che domina gli altri con la paura e la forza. Una creatura simile spiegherebbe perché restano uniti. Nonostante l'estremo pericolo, studiare un Re Goblin darebbe un contributo enorme alla mia ricerca.
INTERACT_WILDWOODFORESTP_ITEM_3EFD2D	Appunto n. 7 - Ho iniziato a seguire i goblin che sembrano essere i capi. Prima o poi arrivano tutti in questa zona. Scompaiono da qualche parte qui intorno. Mi sorge un dubbio: i capi si riuniscono davvero per organizzarsi? Forse non sono stupidi come credevo.
INTERACT_WILDWOODFORESTP_ITEM_423D84	Le pareti recano dipinti e motivi geometrici ricorrenti. Simili ornamenti sono di rado arbitrari. Nelle diverse civiltà, i motivi decorativi tendono a commemorare singoli eventi o a esprimere credenze condivise. Una ripetizione casuale è statisticamente improbabile; l'intenzionalità è l'ipotesi più ragionevole.
INTERACT_WILDWOODFORESTP_ITEM_43E348	Uff... C'è mancato poco! Grazie dell'aiuto. Tieni, prendi questo. L'ho trovato tra le rovine.
INTERACT_WILDWOODFORESTP_ITEM_48B178	Uff... C'è mancato poco! Grazie dell'aiuto. Tieni, prendi questo. L'ho trovato tra le rovine.
INTERACT_WILDWOODFORESTP_ITEM_4B9A3E	Le tracce lasciate trasudano malvagità e conducono a nordovest.
INTERACT_WILDWOODFORESTP_ITEM_4B9B46	Le tracce si fanno più marcate mentre la malvagità nell'aria si intensifica. Conducono tutte a nord.
INTERACT_WILDWOODFORESTP_ITEM_4B9CEB	Le tracce si fanno più marcate mentre la malvagità nell'aria si intensifica. Conducono tutte a nordovest.
INTERACT_WILDWOODFORESTP_ITEM_4D434B	"Grazie, eroe. Credevo fossimo spacciati..."
INTERACT_WILDWOODFORESTP_ITEM_4D939C	Grazie, avventuriero. Senza il tuo aiuto saremmo stati perduti. Non abbiamo molto da offrire, ma accetta questo come segno della nostra gratitudine.
INTERACT_WILDWOODFORESTP_ITEM_4E3030	Sembra il carico d'armi scomparso di Manga...
INTERACT_WILDWOODFORESTP_ITEM_518E88	La gente del posto parla del Re della Foresta, un cervo maestoso che si mostra di rado ma è ben noto nei racconti locali. Non è chiaro se sia legato all'insolita rilevanza delle immagini di cervi in queste rovine, ma è difficile ignorare il nesso.
INTERACT_WILDWOODFORESTP_ITEM_518F90	Il cervo gigante potrebbe essere il rappresentante terreno di Ceres, anziché la divinità stessa. Un sovrano della foresta, non il suo creatore. In tal caso, la creatura descritta dalla gente del posto è il simbolo vivente di un'autorità superiore.
INTERACT_WILDWOODFORESTP_ITEM_51900C	C'è un'incongruenza. Se Ceres occupava il posto più alto nelle loro credenze, sembra improbabile che un simile essere vagasse nella foresta in forma fisica. Una figura di tale levatura agirebbe più probabilmente tramite intermediari.
INTERACT_WILDWOODFORESTP_ITEM_5352E8	Uff... C'è mancato poco! Grazie dell'aiuto. Tieni, prendi questo. L'ho trovato tra le rovine.
INTERACT_WILDWOODFORESTP_ITEM_5560F2	Sotto la corteccia, alla base del ceppo, frammenti di un antico testo elfico restano impressi nel legno consunto.
INTERACT_WILDWOODFORESTP_ITEM_5561FA	Guardi sotto la corteccia... nessuna poesia elfica.
INTERACT_WILDWOODFORESTP_ITEM_556296	Guardi sotto la corteccia... nessuna poesia elfica.
INTERACT_WILDWOODFORESTP_ITEM_58D127	La zona è stata disboscata; gli alberi Everlast, un tempo immortali, giacciono abbattuti.
INTERACT_WILDWOODFORESTP_ITEM_5AC5AC	Ripercorri il sentiero e segni sulla mappa una via per il covo attraverso il Guado di Garfael
INTERACT_WILDWOODFORESTP_ITEM_5ED31E	Grazie, amico… Senza di te non sarei riuscito a salvarla.
INTERACT_WILDWOODFORESTP_ITEM_5F473E	Il corpo giace senza vita, dilaniato dai lupi.
INTERACT_WILDWOODFORESTP_ITEM_63B0F1	Ciao, amico mio. Ti lascio questo biglietto nel caso venissi a trovarmi mentre sono via per un incontro. I treant hanno finalmente avuto la gentilezza di concedermi udienza: potrò chiedere umilmente la loro protezione sul giardino. Tornerò molto presto.
INTERACT_WILDWOODFORESTP_ITEM_6A1C98	Più mi addentro nella foresta, più le rovine si fanno numerose. La loro crescente densità difficilmente è casuale. Questa civiltà traeva un vantaggio concreto dall'insediarsi nella foresta, oppure aveva con essa un legame tanto profondo da determinare la distribuzione degli insediamenti.
INTERACT_WILDWOODFORESTP_ITEM_6A1D34	L'architettura corrisponde a ciò che già sappiamo dell'antica fede, ma qui l'immagine ricorrente del cervo ha un rilievo insolito. Questo sito sembra aver dato al simbolo molta più importanza degli altri che ho studiato.
INTERACT_WILDWOODFORESTP_ITEM_74DB10	Grazie dell'aiuto. Se non fossimo tornati vivi al campo, Corin ci avrebbe tagliato la testa.
INTERACT_WILDWOODFORESTP_ITEM_7682E0	La lastra reca un testo in elfico antico. Non riesci a leggerlo.
INTERACT_WILDWOODFORESTP_ITEM_7682E0_2	Un imponente uovo degli Antichi riposa tra pietre sgretolate.
INTERACT_WILDWOODFORESTP_ITEM_7682E0_23F8CA	Davanti a te, in un antico tempio elfico, sorge un Sacrario dedicato a una figura sconosciuta, dalle sembianze di un grande cervo.
INTERACT_WILDWOODFORESTP_ITEM_7682E0_3A8A45	Davanti a te si estendono antiche rovine elfiche.
INTERACT_WILDWOODFORESTP_ITEM_7682E0_5E0C68	Un tempo qualcuno chiamava casa questo posto. Ora restano solo rovine.
INTERACT_WILDWOODFORESTP_ITEM_7682E0_NOTIF	Hai appreso informazioni sulla Pozza del Ricordo.
INTERACT_WILDWOODFORESTP_ITEM_7682E0_NOTIF_2	Hai appreso informazioni sull'Uovo dell'Antico Gigante.
INTERACT_WILDWOODFORESTP_ITEM_7682E0_NOTIF_23F8CA	Hai appreso informazioni sulla Corte dei Frammenti.
INTERACT_WILDWOODFORESTP_ITEM_7682E0_NOTIF_3A8A45	Hai appreso informazioni sulle Rovine del Lamento Perduto
INTERACT_WILDWOODFORESTP_ITEM_7682E0_NOTIF_5E0C68	Hai appreso informazioni sulle Fattorie Abbandonate
ITEM_ALPHACLAW_DESC	Un enorme artiglio rinforzato per natura, apprezzato per la robustezza e il valore simbolico.
ITEM_ALPHAFUR_DESC	Spessa pelliccia di un predatore alfa, folta e capace di trattenere il calore.
ITEM_APPLEJUICE_DESC	Succo di Mela dolce diluito con acqua. Ottimo per ripristinare il Nutrimento in viaggio. Berlo aumenta per un certo tempo la Rigenerazione del vigore.
ITEM_APPLEJUICE_EFFECT	Ripristina il Nutrimento e aumenta la Rigenerazione del vigore del 10% per 30 minuti. Può essere attivo un solo bonus da bevanda alla volta.
ITEM_APPLESEED_DESC	Un seme di melo.
ITEM_APPLE_DESC	Una mela succosa, ottima come spuntino in viaggio.
ITEM_APPLE_EFFECT	Ripristina il Nutrimento.
ITEM_BEASTMEAT_DESC	Carne sostanziosa delle bestie di Mirkea, apprezzata per il sapore e il valore nutritivo.
ITEM_BEASTMEAT_EFFECT	Ripristina il Nutrimento ma riduce la Rigenerazione del vigore per 5 minuti.
ITEM_BELLFLOWERSOUP_DESC	Una zuppa aromatica e mistica di Campanula Canterina e Thaumablossom. Il suo aroma etereo calma i sensi e protegge dalle instabili energie dell'Etere.
ITEM_BELLFLOWERSOUP_EFFECT	Ripristina il Nutrimento. Conferisce 10% Salute massima e 25% Resistenza all'etere per 30 minuti.
ITEM_BLIGHTCROW_EFFECT	Sorveglia i nemici Avvelenati e sputa contro di loro un dardo tossico, applicando accumuli aggiuntivi di Veleno.
ITEM_BLOODRAGEPOTION1_DESC	Una potente Pozione della Furia Sanguinaria, ricavata dall'essenza di un grande Goblin. Conferisce temporaneamente Furia a chi la beve.
